source,target,weight
mlopezguate,carlos_ruano_,1
mlopezguate,mmendoza_gt,1
mlopezguate,guatevisible,1
mlopezguate,samuel_pz,1
mlopezguate,msemillagt,1
arkmazariegos,sankevins,1
arkmazariegos,traficogt,1
edvin111956,traficogt,2
eddyarredondo23,traficogt,2
eddyarredondo23,barevalodeleon,1
ed8sv,covial_civ,1
ed8sv,barevalodeleon,1
ed8sv,traficogt,1
marco06ruiz,traficogt,2
marco06ruiz,barevalodeleon,1
marco06ruiz,cc_guatemala,1
mariochiu2,alianzargt,1
mariochiu2,traficogt,8
mariochiu2,prensacomunitar,1
mariochiu2,prensa_libre,1
mariochiu2,plazapublicagt,1
mariochiu2,publinewsgt,1
mariochiu2,radiopuntogt,1
mariochiu2,aztecanoticiagt,1
mariochiu2,lahoragt,3
mariochiu2,cc_guatemala,3
mariochiu2,ojguatemala,3
mariochiu2,mpguatemala,2
pastorajcastro,prensacomunitar,2
pastorajcastro,traficogt,8
pastorajcastro,elsacoronadogt,1
pastorajcastro,lahoragt,1
pastorajcastro,mmendoza_gt,2
pastorajcastro,cc_guatemala,1
pastorajcastro,congresoguate,1
pastorajcastro,msemillagt,1
pastorajcastro,samuel_pz,1
pastorajcastro,rafa_mal0072,1
pastorajcastro,mpguatemala,1
pastorajcastro,garridohigueros,1
pastorajcastro,drgiammattei,1
efonseca2841,munivcanales,2
efonseca2841,traficogt,2
marinae41953239,isapaiz_,1
marinae41953239,traficogt,2
marinae41953239,marceblanco_,1
marinae41953239,unam_mx,1
hecch,guillepefe2012,1
hecch,traficogt,1
hecch,amilcarmontejo,1
hecch,muniguate,1
hecch,rquinonezl,1
guillepefe2012,traficogt,5
guillepefe2012,amilcarmontejo,7
guillepefe2012,muniguate,5
guillepefe2012,rquinonezl,5
guillepefe2012,transmetroguate,2
guillepefe2012,transitogt,2
guillepefe2012,florydeprez2,1
guillepefe2012,cesargarcia0293,1
guillepefe2012,_cristiangt,1
guillepefe2012,odioaemetra,1
guillepefe2012,emetragt,1
transmetroguate,amilcarmontejo,2
transmetroguate,traficogt,2
transmetroguate,muniguate,2
transmetroguate,noti7guatemala,2
transmetroguate,aztecanoticiagt,2
florydeprez2,amilcarmontejo,14
florydeprez2,rquinonezl,13
florydeprez2,traficogt,15
florydeprez2,muniguate,7
florydeprez2,dtransitopnc,7
florydeprez2,transmetroguate,1
florydeprez2,cesargarcia0293,1
florydeprez2,mpguatemala,1
florydeprez2,guate_inmortal_,3
florydeprez2,pncdeguatemala,4
florydeprez2,emetragt,2
ttrezz777,21kmuniguate,1
ttrezz777,muniguate,1
ttrezz777,rquinonezl,1
ttrezz777,amilcarmontejo,1
ttrezz777,traficogt,1
ttrezz777,denunciaempagua,1
kiluluki,prensacomunitar,1
kiluluki,traficogt,1
julioca75923080,emisorasunidas,1
julioca75923080,traficogt,13
julioca75923080,ricigt1,1
julioca75923080,drewzecena,1
julioca75923080,mpguatemala,1
julioca75923080,barevalodeleon,2
julioca75923080,luisala61253973,1
julioca75923080,manfredoguate,1
julioca75923080,thelmaaldana,1
julioca75923080,ojguatemala,1
julioca75923080,lucifer4165698,1
julioca75923080,rubenarriagama1,1
julioca75923080,bancadasemilla,1
julioca75923080,msemillagt,1
julioca75923080,rosental,1
julioca75923080,jlfont001,1
julioca75923080,fiscalnvicto,1
julioca75923080,domingo94096837,1
julioca75923080,alex_balsells,1
mesas752066,monymmorales,1
mesas752066,traficogt,4
mesas752066,mineducgt,1
mesas752066,wergabriel,1
diegooliva95,noti_atlantico,1
diegooliva95,traficogt,1
diegooliva95,odioaemetra,1
diegooliva95,muniguate,1
fabycalderon11,traficogt,1
krystap33861,vichoguate,1
krystap33861,climaenguate,1
krystap33861,traficogt,1
krystap33861,sonora969,1
krystap33861,sonny_figueroa,1
krystap33861,soyestauser,1
ldubon63,esta_busqueda,1
ldubon63,traficogt,32
ldubon63,diegoedeleon,1
ldubon63,ep_investiga,1
ldubon63,vozdeltuit,1
ldubon63,lahoragt,4
ldubon63,soygeorgegt,1
ldubon63,pavelvga,1
ldubon63,josechic86,1
ldubon63,ricigt1,6
ldubon63,rmensoruin,1
ldubon63,oco_motora,1
ldubon63,pedgar05,1
ldubon63,czardetto,1
ldubon63,sperezattias,1
